leiloeiro,url,titulo,cidade,estado,preco,avaliacao,desconto_pct,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11471/lote/242362/apartamento-no-301-no-condominio-residencial-bela-vista-no-municipio-de-araucaria-pr,"Apartamento nº 301, no Condomínio Residencial Bela Vista, no Município de Araucária/PR",Florianópolis,SC,153000.0,300000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11615/lote/243047/sala-comercial-no-1201-e-7-vagas-de-garagem-no-edificio-comercial-prime-tower-em-florianopolis-sc,"Sala comercial nº 1201 e 7 vagas de garagem, no Edifício Comercial Prime Tower, em Florianópolis/SC",Extrajudicial,,2971868.5,2971868.5,100.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11590/lote/243000/terreno-com-area-de-8-000-00m2-com-edificacao-industrial-bairro-industrial-norte-em-rio-negrinho-sc,"Terreno com área de 8.000,00m², com Edificação Industrial, bairro Industrial Norte, em Rio Negrinho/SC",São Bento do Sul,SC,1500000.0,2500000.0,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11590/lote/243008/terreno-com-area-de-18-242-00m2-com-edificacao-no-municipio-de-rio-negrinho-sc,"Terreno com área de 18.242,00m², com edificação, no Município de Rio Negrinho/SC",São Bento do Sul,SC,240000.0,400000.0,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11454/lote/242345/direitos-sobre-imovel-com-area-de-360-00m2-com-edificacao-bairro-sao-miguel-em-fraiburgo-sc,"Direitos sobre Imóvel com área de 360,00m², com Edificação, bairro São Miguel, em Fraiburgo/SC",Fraiburgo,SC,130492.17,173989.56,75.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11467/lote/242358/apartamento-no-803-torre-02-no-condominio-residencial-linea-bairro-barreiros-em-sao-jose-sc,"Apartamento nº 803, Torre 02, no Condomínio Residencial Línea, bairro Barreiros, em São José/SC",São José,SC,376196.57,737640.34,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11468/lote/242359/apartamento-no-303-bloco-09-no-condominio-parque-flores-do-oriente-em-palhoca-sc,"Apartamento nº 303, bloco 09, no Condomínio Parque Flores do Oriente, em Palhoça/SC",Palhoça,SC,144869.46,241449.11,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11469/lote/242360/apartamento-no-106-bloco-b-no-condominio-gustavo-kirchner-em-palhoca-sc,"Apartamento nº 106, bloco B, no Condomínio Gustavo Kirchner, em Palhoça/SC",Palhoça,SC,476942.83,794904.73,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11592/lote/243011/imovel-com-area-de-392-00m2-com-edificacao-no-loteamento-vila-bardini-em-treze-de-maio-sc-2,"Imóvel com área de 392,00m², com Edificação, no Loteamento Vila Bardini, em Treze de Maio/SC",Leilão Extrajudicial,,338603.35,250000.0,135.44134,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11597/lote/243019/parte-de-terras-de-cultura-com-area-de-26-000-00m2-situada-na-linha-santo-antonio-em-sao-joao-da-urtiga-rs,"Parte de terras de cultura com área de 26.000,00m², situada na Linha Santo Antônio, em São João da Urtiga/RS",Leilão Extrajudicial,,587171.25,1580000.0,37.1627376,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11479/lote/242373/direitos-possessorios-sobre-imovel-com-area-de-8-278-32m2-no-municipio-de-biguacu-sc-2,"Direitos possessórios sobre Imóvel com área de 8.278,32m², no Município de Biguaçu/SC",São José,SC,102000.0,200000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11486/lote/242381/direitos-sobre-area-de-3-430-15m2-no-terreno-rural-com-area-total-de-27-264-15m2-em-braco-do-norte-sc,"Direitos sobre área de 3.430,15m², no terreno rural com área total de 27.264,15m², em Braço do Norte/SC",Braço do Norte,SC,191461.94,375415.57,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11486/lote/242382/terreno-de-esquina-com-area-de-99-00m2-com-edificacao-bairro-santa-luzia-em-tubarao-sc,"Terreno de esquina com área de 99,00m², com Edificação, bairro Santa Luzia, em Tubarão/SC",Braço do Norte,SC,45784.37,89773.29,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11460/lote/242351/imovel-de-posse-com-area-total-de-700-00m2-bairro-aventureiro-no-municipio-de-joinville-sc-2,"Imóvel de posse com área total de 700,00m², bairro Aventureiro, no Município de Joinville/SC",Joinville,SC,218808.21,364680.36,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11502/lote/242402/terreno-com-area-de-47-190-00m2-com-edificacoes-situado-em-congonhas-em-tubarao-sc,"Terreno com área de 47.190,00m², com Edificações, situado em Congonhas, em Tubarão/SC",Tubarão,SC,477087.9,935466.49,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11482/lote/242376/apartamento-no-102-no-condominio-residencial-torre-do-sol-i-em-palhoca-sc,"Apartamento nº 102, no Condomínio Residencial Torre do Sol I, em Palhoça/SC",Palhoça,SC,49552.5,82587.5,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11490/lote/242386/direitos-aquisitivos-sobre-a-unidade-51-no-condominio-moradas-de-camboriu-em-camboriu-sc,"Direitos aquisitivos sobre a unidade 51, no Condomínio Moradas de Camboriú, em Camboriú/SC",Balneário Camboriú,SC,357000.0,700000.0,51.0,False
