leiloeiro,url,titulo,cidade,estado,preco,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11592/lote/243011/imovel-com-area-de-392-00m2-com-edificacao-no-loteamento-vila-bardini-em-treze-de-maio-sc-2,"Imóvel com área de 392,00m², com Edificação, no Loteamento Vila Bardini, em Treze de Maio/SC",Leilão Extrajudicial,,338603.35,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11597/lote/243019/parte-de-terras-de-cultura-com-area-de-26-000-00m2-situada-na-linha-santo-antonio-em-sao-joao-da-urtiga-rs,"Parte de terras de cultura com área de 26.000,00m², situada na Linha Santo Antônio, em São João da Urtiga/RS",Leilão Extrajudicial,,587171.25,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11479/lote/242373/direitos-possessorios-sobre-imovel-com-area-de-8-278-32m2-no-municipio-de-biguacu-sc-2,"Direitos possessórios sobre Imóvel com área de 8.278,32m², no Município de Biguaçu/SC",São José,SC,102000.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11486/lote/242381/direitos-sobre-area-de-3-430-15m2-no-terreno-rural-com-area-total-de-27-264-15m2-em-braco-do-norte-sc,"Direitos sobre área de 3.430,15m², no terreno rural com área total de 27.264,15m², em Braço do Norte/SC",Braço do Norte,SC,191461.94,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11486/lote/242382/terreno-de-esquina-com-area-de-99-00m2-com-edificacao-bairro-santa-luzia-em-tubarao-sc,"Terreno de esquina com área de 99,00m², com Edificação, bairro Santa Luzia, em Tubarão/SC",Braço do Norte,SC,45784.37,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11460/lote/242351/imovel-de-posse-com-area-total-de-700-00m2-bairro-aventureiro-no-municipio-de-joinville-sc-2,"Imóvel de posse com área total de 700,00m², bairro Aventureiro, no Município de Joinville/SC",Joinville,SC,218808.21,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11502/lote/242402/terreno-com-area-de-47-190-00m2-com-edificacoes-situado-em-congonhas-em-tubarao-sc,"Terreno com área de 47.190,00m², com Edificações, situado em Congonhas, em Tubarão/SC",Tubarão,SC,477087.9,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11482/lote/242376/apartamento-no-102-no-condominio-residencial-torre-do-sol-i-em-palhoca-sc,"Apartamento nº 102, no Condomínio Residencial Torre do Sol I, em Palhoça/SC",Palhoça,SC,49552.5,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11490/lote/242386/direitos-aquisitivos-sobre-a-unidade-51-no-condominio-moradas-de-camboriu-em-camboriu-sc,"Direitos aquisitivos sobre a unidade 51, no Condomínio Moradas de Camboriú, em Camboriú/SC",Balneário Camboriú,SC,357000.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11616/lote/243048/sala-comercial-no-1201-e-7-vagas-de-garagem-no-edificio-comercial-prime-tower-em-florianopolis-sc-2,"Sala comercial nº 1201 e 7 vagas de garagem, no Edifício Comercial Prime Tower, em Florianópolis/SC",Extrajudicial,,2935326.29,False
